date,store_id,store_profile,sku_id,price_tier,mrp_inr,units_sold,revenue_inr,is_festive_day,festival_name
2025-01-01,BLR-01,Flagship,SKU-001,Flagship,55000,2,110000.0,False,
2025-01-01,BLR-01,Flagship,SKU-005,Flagship,82000,1,82000.0,False,
2025-01-01,BLR-01,Flagship,SKU-007,Flagship,95000,2,190000.0,False,
2025-01-01,BLR-01,Flagship,SKU-010,Flagship,125000,1,125000.0,False,
2025-01-01,BLR-01,Flagship,SKU-017,Mid,17000,3,51000.0,False,
2025-01-01,BLR-01,Flagship,SKU-039,Mid,22000,3,66000.0,False,
2025-01-01,BLR-02,Flagship,SKU-005,Flagship,82000,2,164000.0,False,
2025-01-01,BLR-02,Flagship,SKU-017,Mid,17000,4,68000.0,False,
2025-01-01,BLR-03,Flagship,SKU-010,Flagship,125000,3,375000.0,False,
2025-01-01,BLR-03,Flagship,SKU-038,Mid,27000,1,27000.0,False,
2025-01-01,BLR-04,Flagship,SKU-005,Flagship,82000,2,164000.0,False,
2025-01-01,BLR-04,Flagship,SKU-007,Flagship,95000,2,190000.0,False,
2025-01-01,BLR-04,Flagship,SKU-010,Flagship,125000,2,250000.0,False,
2025-01-01,BLR-04,Flagship,SKU-038,Mid,27000,1,27000.0,False,
2025-01-01,BLR-04,Flagship,SKU-039,Mid,22000,1,22000.0,False,
2025-01-01,BLR-05,Flagship,SKU-005,Flagship,82000,1,82000.0,False,
2025-01-01,BLR-05,Flagship,SKU-010,Flagship,125000,1,125000.0,False,
2025-01-01,BLR-05,Flagship,SKU-017,Mid,17000,3,51000.0,False,
2025-01-01,BLR-05,Flagship,SKU-039,Mid,22000,1,22000.0,False,
2025-01-01,BLR-06,Flagship,SKU-001,Flagship,55000,1,55000.0,False,
2025-01-01,BLR-06,Flagship,SKU-007,Flagship,95000,2,190000.0,False,
2025-01-01,BLR-06,Flagship,SKU-010,Flagship,125000,1,125000.0,False,
2025-01-01,BLR-06,Flagship,SKU-038,Mid,27000,2,54000.0,False,
2025-01-01,BLR-07,Flagship,SKU-007,Flagship,95000,2,190000.0,False,
2025-01-01,BLR-07,Flagship,SKU-010,Flagship,125000,3,375000.0,False,
2025-01-01,BLR-07,Flagship,SKU-038,Mid,27000,2,54000.0,False,
2025-01-01,BLR-07,Flagship,SKU-039,Mid,22000,1,22000.0,False,
2025-01-01,BLR-07,Flagship,SKU-057,Budget,14000,1,14000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-005,Flagship,82000,1,82000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-010,Flagship,125000,1,125000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-017,Mid,17000,1,17000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-038,Mid,27000,2,54000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-039,Mid,22000,2,44000.0,False,
2025-01-01,BLR-08,Tier2_Hub,SKU-057,Budget,14000,2,28000.0,False,
2025-01-01,T2-H01,Tier2_Hub,SKU-005,Flagship,82000,1,82000.0,False,
2025-01-01,T2-H01,Tier2_Hub,SKU-039,Mid,22000,1,22000.0,False,
2025-01-01,T2-H01,Tier2_Hub,SKU-057,Budget,14000,1,14000.0,False,
2025-01-01,T2-H02,Tier2_Hub,SKU-007,Flagship,95000,1,95000.0,False,
2025-01-01,T2-H02,Tier2_Hub,SKU-010,Flagship,125000,3,375000.0,False,
2025-01-01,T2-H02,Tier2_Hub,SKU-017,Mid,17000,1,17000.0,False,
2025-01-01,T2-H02,Tier2_Hub,SKU-038,Mid,27000,2,54000.0,False,
2025-01-01,T2-H03,Tier2_Hub,SKU-010,Flagship,125000,1,125000.0,False,
2025-01-01,T2-H03,Tier2_Hub,SKU-017,Mid,17000,2,34000.0,False,
2025-01-01,T2-H03,Tier2_Hub,SKU-038,Mid,27000,1,27000.0,False,
2025-01-01,T2-H03,Tier2_Hub,SKU-039,Mid,22000,1,22000.0,False,
2025-01-01,T2-H03,Tier2_Hub,SKU-057,Budget,14000,2,28000.0,False,
2025-01-01,T2-H04,Tier2_Hub,SKU-001,Flagship,55000,1,55000.0,False,
2025-01-01,T2-H04,Tier2_Hub,SKU-017,Mid,17000,2,34000.0,False,
2025-01-01,T2-H04,Tier2_Hub,SKU-038,Mid,27000,1,27000.0,False,
2025-01-01,T2-H04,Tier2_Hub,SKU-057,Budget,14000,1,14000.0,False,
2025-01-01,T2-H05,Tier2_Hub,SKU-007,Flagship,95000,2,190000.0,False,
2025-01-01,T2-H05,Tier2_Hub,SKU-017,Mid,17000,2,34000.0,False,
2025-01-01,T2-H05,Tier2_Hub,SKU-039,Mid,22000,2,44000.0,False,
2025-01-01,T2-H05,Tier2_Hub,SKU-057,Budget,14000,1,14000.0,False,
2025-01-01,T3-V01,Tier3_Volume,SKU-005,Flagship,82000,1,82000.0,False,
